"receipt_id","date","items","processed_at","s3_path","total","user_id","vendor"
"90b29a92-7f01-44db-9b08-c1e96bb0b2db","""SEP 10, 25""","""[{""""name"""":""""%PURA FULL CREAM MILK 600ML"""",""""price"""":""""2.50""""},{""""name"""":""""%#KETTLE CHIPS HOT HNY&RIC 150GM"""",""""price"""":""""3.00""""}]""","1757644531476","s3://receiptcat-poc-ai-eval-receipts/receipt11_S.jpg","AUD $5.50","dummyuser123","IGA®"
"7305a5c7-25e2-4a7f-bd92-8edc2f2fc3cb","30/08/2025","""[{""""name"""":""""COLES FULLCREAM MILK 2LITRE"""",""""price"""":""""3.20""""},{""""name"""":""""ABBOTTS VILLAGE BAKE 750GRAM"""",""""price"""":""""5.00""""},{""""name"""":""""WEET-BIX BITES COCO 500GRAM"""",""""price"""":""""6.00""""},{""""name"""":""""COLES COCONUT WATER 1LITRE"""",""""price"""":""""2.85""""},{""""name"""":""""KELLOGS POP TARTS CH 384GRAM"""",""""price"""":""""7.00""""},{""""name"""":""""AFOURER MANDARINS PERKG"""",""""price"""":""""3.67"""",""""quantity"""":""""0.816 kg""""},{""""name"""":""""Nerds Rope Rainbow 26GRAM"""",""""price"""":""""6.00"""",""""quantity"""":""""2""""},{""""name"""":""""COLES MINI CROISSANT 160GRAM"""",""""price"""":""""4.60""""},{""""name"""":""""KENILWORTH CHOC MO 170GRAM"""",""""price"""":""""7.60"""",""""quantity"""":""""2""""},{""""name"""":""""PRIMO CHICKEN BREAST 80GRAM"""",""""price"""":""""3.95""""},{""""name"""":""""BEGA NATURAL D 500GRAM"""",""""price"""":""""9.50""""},{""""name"""":""""COOKIES & CREAM 440ML"""",""""price"""":""""3.80""""},{""""name"""":""""CHEESECAKE SLICE 220GRAM"""",""""price"""":""""5.50""""},{""""name"""":""""GINGER: PER KG PERKG"""",""""price"""":""""3.07"""",""""quantity"""":""""0.106 kg""""},{""""name"""":""""100% RECYCLE PAPER B 1EACH"""",""""price"""":""""0.25""""},{""""name"""":""""YACOYA JELLY B 150ML"""",""""price"""":""""3.65""""},{""""name"""":""""*%BEN AND JERRY'S ICE 458ML"""",""""price"""":""""8.70""""},{""""name"""":""""MISSION TORT CHIPS 230GRAM"""",""""price"""":""""4.50""""},{""""name"""":""""*%DENADA DULCE DE LECH 473ML"""",""""price"""":""""10.00""""},{""""name"""":""""%%REESE\""""S CARAMEL BIG 39GRAM"""",""""price"""":""""1.25""""},{""""name"""":""""RSTED UNSLTD ALMONDS PERKG"""",""""price"""":""""4.60""""},{""""name"""":""""GOURMET TOMATOES PERKG"""",""""price"""":""""2.90"""",""""quantity"""":""""0.591 kg""""}]""","1757640554466","s3://receiptcat-poc-ai-eval-receipts/receipt12_C.jpg","$107.59","dummyuser123","coles"
"8d8f6117-77f6-4dac-a497-f10a299447e5","2025-09-12","""[{""""name"""":""""1 X Bangsilog\n(Bangus/Milkfish)\nCHOICE OF RICE"""",""""price"""":""""A$28.00"""",""""quantity"""":""""1""""},{""""name"""":""""Plain Rice"""",""""price"""":""""AS0.00""""},{""""name"""":""""1 X Paa (Chicken Maryland)\ne HOICE OF SIDE"""",""""price"""":""""A$22.00"""",""""quantity"""":""""1""""},{""""name"""":""""Plain Rice"""",""""price"""":""""A$0.00""""}]""","1757641685298","s3://receiptcat-poc-ai-eval-receipts/receipt12_G.jpg","$50.00","dummyuser123","Unknown"
"8b06bd55-268e-4a17-bb74-eda88ade5900","10/06/2025","""[{""""name"""":""""WW Cage Free Eggs 18pk 900g"""",""""price"""":""""8.70""""},{""""name"""":""""WW Pumpkin Soup 300g"""",""""price"""":""""2.84""""},{""""name"""":""""WW Natural Greek Style Yoghurt 1kg"""",""""price"""":""""3.80""""},{""""name"""":""""WW RSPCA Chkn KebabsSweet Curry 750g"""",""""price"""":""""7.25""""}]""","1757642563093","s3://receiptcat-poc-ai-eval-receipts/receipt12_J.jpg","$17.39","dummyuser123","WOOLWORTHS GROUP LIMITED"
"40f9d776-e281-4759-a891-aa2d92ff5daa","31 AUG 2025","""[{""""name"""":""""*MCVITIES DIGEST CH/TP LK100GM"""",""""price"""":""""$2.00""""},{""""name"""":""""*NIPPYS ICED COFFEE 375ML"""",""""price"""":""""$3.50""""},{""""name"""":""""S*THINS CHIP SLT&VIN 45GM"""",""""price"""":""""$1.70""""}]""","1757644531149","s3://receiptcat-poc-ai-eval-receipts/receipt12_S.jpg","AUD $7.20","dummyuser123","IGA"
"cafe00d0-fd85-4535-927a-4711e07062c7","28/08/2025","""[{""""name"""":""""BANANAS PERKG"""",""""price"""":""""5.64"""",""""quantity"""":""""1.151 kg NET""""},{""""name"""":""""ABBOTTS VILLAGE BAKE 750GRAM"""",""""price"""":""""5.00""""},{""""name"""":""""CHICKEN CAESAR WRAP 192GRAM"""",""""price"""":""""16.00"""",""""quantity"""":""""2""""},{""""name"""":""""SALAD PESTO SANDWICH 195GRAM"""",""""price"""":""""7.00""""},{""""name"""":""""CLS FST TOFFEE PUD 100GRAM"""",""""price"""":""""8.00"""",""""quantity"""":""""2""""},{""""name"""":""""%%MORNING FRESH S STRE 900ML"""",""""price"""":""""5.00""""},{""""name"""":""""*%MARS COOKIE DOUGH 47GRAM"""",""""price"""":""""1.25""""},{""""name"""":""""TKC ORIGINAL KIMCHI 330GRAM"""",""""price"""":""""7.10""""},{""""name"""":""""COLES MINI CROISSANT 160GRAM"""",""""price"""":""""4.60""""},{""""name"""":""""COLES CAGE FREE EGGS 700GRAM"""",""""price"""":""""11.80"""",""""quantity"""":""""2""""},{""""name"""":""""% SNACKS"""",""""price"""":""""3.80""""}]""","1757640543899","s3://receiptcat-poc-ai-eval-receipts/receipt13_C.jpg","$75.19","dummyuser123","coles"
"359f13e5-95ff-44b4-bfba-33bfd126821b","7/9/2025","""[{""""name"""":""""1xGrilled Unagi Rice\nGrilled Unagi Rice\n-TAKEAWAY\n-Signature Teriyaki X"""",""""price"""":""""$30.90"""",""""quantity"""":""""1""""},{""""name"""":""""1xTeriyaki Chicken Rice\nChicken Rice\nTeriyaki\n-TAKEAWAY\nTeriyaki X 1\n-Signature"""",""""price"""":""""$24.20"""",""""quantity"""":""""1""""},{""""name"""":""""1xFresh Salmon w/ Avocado Roll\nSalmon w/ Avocado Roll\nFresh"""",""""price"""":""""$6.50""""}]""","1757641683812","s3://receiptcat-poc-ai-eval-receipts/receipt13_G.jpg","0.00","dummyuser123","Unknown"
"6d0d4f7e-952a-4798-bfe1-081a083082e4","15/08/2025","""[{""""name"""":""""Lucky Kitchen BBQ Pork Dumplings 750g"""",""""price"""":""""10.00""""},{""""name"""":""""^#Oatly Oat Drink Vanilla 1L"""",""""price"""":""""3.90""""},{""""name"""":""""WW Cheese Shredded Tasty Light 500g"""",""""price"""":""""6.50""""},{""""name"""":""""WW Potato & Leek Soup 300g"""",""""price"""":""""2.80""""},{""""name"""":""""^Macro Grassfed Beef ExLean Burgers 500g"""",""""price"""":""""8.00""""}]""","1757642562953","s3://receiptcat-poc-ai-eval-receipts/receipt13_J.jpg","$77.92","dummyuser123","WOOLWORTHS GROUP LIMITED"
"be39a4b2-d644-4ae0-bf68-a52c3699f7de","30/08/2025","""[{""""name"""":""""*B/GOLD SERV WHITE 100S"""",""""price"""":""""$1.05""""},{""""name"""":""""COMM CO RICE BASMATI 1KG"""",""""price"""":""""$4.00""""},{""""name"""":""""*COMM CO WIPES C/F MULT PURP50S"""",""""price"""":""""$2.35""""},{""""name"""":""""SAXA SALT ROCK PINK HIMA 500GM"""",""""price"""":""""$5.86""""}]""","1757644588240","s3://receiptcat-poc-ai-eval-receipts/receipt13_S.jpg","AUD $13.26","dummyuser123","IGA"
"8259c230-217d-48e1-9a98-2e6f712c2919","28 Aug.2025","""[{""""name"""":""""CORN DOG"""",""""price"""":""""4.99"""",""""quantity"""":""""1""""},{""""name"""":""""Sweet corn"""",""""price"""":""""1.19"""",""""quantity"""":""""1""""},{""""name"""":""""Enoki"""",""""price"""":""""1.19"""",""""quantity"""":""""1""""}]""","1757640547521","s3://receiptcat-poc-ai-eval-receipts/receipt14_C.jpg","$19.21","dummyuser123","Skewers\nFried\nFood\nHu\nCentral\nMEL"
